DATE,Financial Quarter,GDP
01-01-2005,Q1 2005,597998.9
01-04-2005,Q2 2005,601205.3
01-07-2005,Q3 2005,606293.8
01-10-2005,Q4 2005,609221.4
01-01-2006,Q1 2006,615128.6
01-04-2006,Q2 2006,625653.8
01-07-2006,Q3 2006,630463.3
01-10-2006,Q4 2006,640012.6
01-01-2007,Q1 2007,640430.7
01-04-2007,Q2 2007,645867.6
01-07-2007,Q3 2007,649143.6
01-10-2007,Q4 2007,653325.8
01-01-2008,Q1 2008,657508
01-04-2008,Q2 2008,655974.6
01-07-2008,Q3 2008,651722.7
01-10-2008,Q4 2008,641336.9
01-01-2009,Q1 2009,611295
01-04-2009,Q2 2009,612270.8
01-07-2009,Q3 2009,615686.2
01-10-2009,Q4 2009,620216.9
01-01-2010,Q1 2010,625218.5
01-04-2010,Q2 2010,639298.1
01-07-2010,Q3 2010,644595.4
01-10-2010,Q4 2010,649823
01-01-2011,Q1 2011,662387.2
01-04-2011,Q2 2011,663014.5
01-07-2011,Q3 2011,668869.6
01-10-2011,Q4 2011,666778.5
01-01-2012,Q1 2012,668242.2
01-04-2012,Q2 2012,669496.9
01-07-2012,Q3 2012,671448.6
01-10-2012,Q4 2012,668311.9
01-01-2013,Q1 2013,665297.5
01-04-2013,Q2 2013,672546.4
01-07-2013,Q3 2013,676240.6
01-10-2013,Q4 2013,678122.5
01-01-2014,Q1 2014,684761.9
01-04-2014,Q2 2014,684901.3
01-07-2014,Q3 2014,688177.3
01-10-2014,Q4 2014,693753.5
01-01-2015,Q1 2015,690268.4
01-04-2015,Q2 2015,695635.6
01-07-2015,Q3 2015,698353.9
01-10-2015,Q4 2015,701490.5
01-01-2016,Q1 2016,707415.3
01-04-2016,Q2 2016,710830.8
01-07-2016,Q3 2016,712224.8
01-10-2016,Q4 2016,714943.2
01-01-2017,Q1 2017,723516.7
01-04-2017,Q2 2017,730208.2
01-07-2017,Q3 2017,734808.6
01-10-2017,Q4 2017,741778.9
01-01-2018,Q1 2018,737300.5
01-04-2018,Q2 2018,743294.8
01-07-2018,Q3 2018,736394.4
01-10-2018,Q4 2018,742737.2
01-01-2019,Q1 2019,747825.6
01-04-2019,Q2 2019,747546.8
01-07-2019,Q3 2019,747407.4
01-10-2019,Q4 2019,749637.9
01-01-2020,Q1 2020,736393.9
01-04-2020,Q2 2020,668504.8
01-07-2020,Q3 2020,728099.4
01-10-2020,Q4 2020,733814.9
01-01-2021,Q1 2021,724475.4
01-04-2021,Q2 2021,740646.2
01-07-2021,Q3 2021,745595
01-10-2021,Q4 2021,745664.7
01-01-2022,Q1 2022,753140.5
01-04-2022,Q2 2022,752164.6
01-07-2022,Q3 2022,754883
01-10-2022,Q4 2022,751816.2
01-01-2023,Q1 2023,753854.9
01-04-2023,Q2 2023,753297.3
01-07-2023,Q3 2023,754342.9
01-10-2023,Q4 2023,750578.8